trial_id,scenario,lighting_condition,expected_person,system_alerted,event_id,timestamp,source_mode,source_label,confidence,end_to_end_local_seconds,event_to_notification_seconds,telegram_elapsed_seconds,outcome,notes
D01,daylight_person_crossing,daylight,true,,,,,,,,,,
D02,daylight_person_crossing,daylight,true,,,,,,,,,,
D03,daylight_person_crossing,daylight,true,,,,,,,,,,
D04,daylight_person_crossing,daylight,true,,,,,,,,,,
D05,daylight_person_crossing,daylight,true,,,,,,,,,,
L01,low_light_person_crossing,low light,true,,,,,,,,,,
L02,low_light_person_crossing,low light,true,,,,,,,,,,
L03,low_light_person_crossing,low light,true,,,,,,,,,,
L04,low_light_person_crossing,low light,true,,,,,,,,,,
L05,low_light_person_crossing,low light,true,,,,,,,,,,
A01,side_angle_person_crossing,daylight,true,,,,,,,,,,
A02,side_angle_person_crossing,daylight,true,,,,,,,,,,
A03,side_angle_person_crossing,artificial light,true,,,,,,,,,,
A04,side_angle_person_crossing,low light,true,,,,,,,,,,
P01,partial_body_or_fast_entry,daylight,true,,,,,,,,,,
P02,partial_body_or_fast_entry,artificial light,true,,,,,,,,,,
P03,partial_body_or_fast_entry,low light,true,,,,,,,,,,
N01,no_person_static_scene,daylight,false,,,,,,,,,,
N02,no_person_static_scene,artificial light,false,,,,,,,,,,
N03,no_person_static_scene,low light,false,,,,,,,,,,
O01,no_person_object_motion,daylight,false,,,,,,,,,,
O02,no_person_object_motion,daylight,false,,,,,,,,,,
O03,no_person_object_motion,artificial light,false,,,,,,,,,,
O04,no_person_object_motion,low light,false,,,,,,,,,,
